"Year","Case","Gender","Race","City","State","LocationType","Fatalities","Wounded","TotalVictims","NumWeapons","MentalIllness","LegalWeapon"
2015,"Chattanooga military recruitment center","Male","Middle Eastern","Chattanooga","Tennessee","Military",5,2,7,3,"true","true"
2015,"Charleston Church Shooting","Male","White","Charleston","South Carolina","Religious",9,1,10,1,"false","true"
2012,"Accent Signage Systems shooting","Male","White","Minneapolis","Minnesota","Workplace",7,1,8,1,"true","true"
2012,"Sikh temple shooting","Male","White","Oak Creek","Wisconsin","Religious",7,3,10,1,"true","true"
2012,"Aurora theater shooting","Male","White","Aurora","Colorado","Other",12,58,70,4,"true","true"
2012,"Seattle cafe shooting","Male","White","Seattle","Washington","Other",6,1,7,2,"true","true"
2012,"Oikos University killings","Male","Asian","Oakland","California","School",7,3,10,1,"true","true"
2012,"Su Jung Health Sauna shooting","Male","Asian","Norcross","Georgia","Other",5,0,5,1,"true","true"
2011,"Seal Beach shooting","Male","White","Seal Beach","California","Other",8,1,9,3,"true","true"
2011,"IHOP shooting","Male","Latino","Carson City","Nevada","Other",5,7,12,3,"true","true"
2011,"Tucson shooting","Male","White","Tucson","Arizona","Other",6,13,19,1,"true","true"
2010,"Hartford Beer Distributor shooting","Male","Black","Manchester","Connecticut","Workplace",9,2,11,2,"false","true"
2014,"Marysville/Pilchuck High School shooting","Male","Native American","Marysville","Washington","School",5,1,6,1,"false","false"
2009,"Coffee shop police killings","Male","Black","Parkland","Washington","Other",4,1,5,1,"true","false"
2009,"Fort Hood massacre","Male","Other","Fort Hood","Texas","Military",13,30,43,1,"true","true"
2009,"Binghamton shootings","Male","Asian","Binghamton","New York","Other",14,4,18,2,"true","true"
2009,"Carthage nursing home shooting","Male","White","Carthage","North Carolina","Other",8,3,11,2,"true","true"
2008,"Atlantis Plastics shooting","Male","White","Henderson","Kentucky","Workplace",6,1,7,1,"false","true"
2008,"Northern Illinois University shooting","Male","White","DeKalb","Illinois","School",6,21,27,4,"true","true"
2008,"Kirkwood City Council shooting","Male","Black","Kirkwood","Missouri","Other",6,2,8,2,"false","false"
2007,"Westroads Mall shooting","Male","White","Omaha","Nebraska","Other",9,4,13,1,"true","false"
2007,"Crandon shooting","Male","White","Crandon","Wisconsin","Other",6,1,7,1,"false","true"
2007,"Virginia Tech massacre","Male","Asian","Blacksburg","Virginia","School",33,23,56,2,"true","true"
2007,"Trolley Square shooting","Male","White","Salt Lake City","Utah","Other",6,4,10,2,"true","false"
2006,"Amish school shooting","Male","White","Lancaster County","Pennsylvania","School",6,5,11,3,"false","true"
2006,"Capitol Hill massacre","Male","White","Seattle","Washington","Other",7,2,9,4,"false","true"
2006,"Goleta postal shootings","Female","White","Goleta","California","Workplace",8,0,8,1,"true","true"
2005,"Red Lake massacre","Male","Native American","Red Lake","Minnesota","School",10,5,15,3,"true","false"
2005,"Living Church of God shooting","Male","White","Brookfield","Wisconsin","Religious",7,4,11,1,"true","true"
2004,"Damageplan show shooting","Male","White","Columbus","Ohio","Other",5,7,12,1,"true","true"
2003,"Lockheed Martin shooting","Male","White","Meridian","Mississippi","Workplace",7,8,15,5,"true","true"
2001,"Navistar shooting","Male","Black","Melrose Park","Illinois","Workplace",5,4,9,4,"false","true"
2000,"Wakefield massacre","Male","White","Wakefield","Massachusetts","Workplace",7,0,7,3,"true","true"
2013,"Washington Navy Yard shooting","Male","Black","Washington","D.C.","Military",12,8,20,1,"true","true"
1999,"Hotel shooting","Male","Latino","Tampa","Florida","Workplace",5,3,8,2,"true","true"
1999,"Xerox killings","Male","Asian","Honolulu","Hawaii","Workplace",7,0,7,1,"true","true"
1999,"Wedgwood Baptist Church shooting","Male","White","Fort Worth","Texas","Religious",8,7,15,2,"true","true"
1999,"Atlanta day trading spree killings","Male","White","Atlanta","Georgia","Workplace",9,13,22,4,"true","true"
1999,"Columbine High School massacre","Male","White","Littleton","Colorado","School",15,24,39,4,"true","false"
1998,"Thurston High School shooting","Male","White","Springfield","Oregon","School",4,25,29,3,"true","false"
1998,"Westside Middle School killings","Male","White","Jonesboro","Arkansas","School",5,10,15,9,"false","false"
1998,"Connecticut Lottery shooting","Male","White","Newington","Connecticut","Workplace",5,1,6,1,"true","true"
1997,"Caltrans maintenance yard shooting","Male","Latino","Orange","California","Workplace",5,2,7,1,"false","true"
1997,"R.E. Phelon Company shooting","Male","Black","Aiken","South Carolina","Workplace",4,3,7,1,"false","false"
2013,"Hialeah apartment shooting","Male","Latino","Hialeah","Florida","Other",7,0,7,1,"true","true"
1996,"Fort Lauderdale revenge shooting","Male","Black","Fort Lauderdale","Florida","Workplace",6,1,7,2,"true","true"
1995,"Walter Rossler Company massacre","Male","White","Corpus Christi","Texas","Workplace",6,0,6,2,"false","true"
1994,"Air Force base shooting","Male","White","Fairchild Air Force Base","Washington","Military",5,23,28,1,"true","true"
1993,"Long Island Rail Road massacre","Male","Black","Garden City","New York","Other",6,19,25,1,"true","true"
1993,"Luigis shooting","Male","White","Fayetteville","North Carolina","Other",4,8,12,3,"false","true"
1993,"101 California Street shootings","Male","White","San Francisco","California","Other",9,6,15,3,"false","false"
1992,"Watkins Glen killings","Male","White","Watkins Glen","New York","Other",5,0,5,1,"true","true"
1992,"Lindhurst High School shooting","Male","White","Olivehurst","California","School",4,10,14,2,"false","true"
1991,"Royal Oak postal shootings","Male","White","Royal Oak","Michigan","Workplace",5,5,10,1,"true","true"
2013,"Santa Monica rampage","Male","White","Santa Monica","California","Other",6,3,9,2,"true","true"
1991,"University of Iowa shooting","Male","Asian","Iowa City","Iowa","School",6,1,7,1,"true","true"
1991,"Lubys massacre","Male","White","Killeen","Texas","Other",24,20,44,2,"false","true"
1990,"GMAC massacre","Male","Black","Jacksonville","Florida","Other",10,4,14,2,"false","true"
1989,"Standard Gravure shooting","Male","White","Louisville","Kentucky","Workplace",9,12,21,5,"true","true"
1989,"Stockton schoolyard shooting","Male","White","Stockton","California","School",6,29,35,2,"true","true"
1988,"ESL shooting","Male","White","Sunnyvale","California","Workplace",7,4,11,7,"true","true"
1987,"Shopping centers spree killings","Male","White","Palm Bay","Florida","Other",6,14,20,3,"true","true"
1986,"United States Postal Service shooting","Male","White","Edmond","Oklahoma","Workplace",15,6,21,3,"true","true"
1984,"San Ysidro McDonalds massacre","Male","White","San Ysidro","California","Other",22,19,41,3,"true","true"
1984,"Dallas nightclub shooting","Male","White","Dallas","Texas","Other",6,1,7,1,"true","false"
2013,"Pinewood Village Apartment shooting","Male","Black","Federal Way","Washington","Other",5,0,5,2,"false","true"
1982,"Welding shop shooting","Male","White","Miami","Florida","Other",8,3,11,1,"true","true"
2013,"Mohawk Valley shootings","Male","White","Herkimer County","New York","Other",5,2,7,1,"false","true"
2012,"Newtown school shooting","Male","White","Newtown","Connecticut","School",28,2,30,4,"true","false"
